settimana,data inizio,data fine
1,"2022-01-01","2022-01-15"
2,"2022-01-16","2022-01-31"
3,"2022-02-01","2022-02-09"
4,"2022-02-10","2022-02-25"
5,"2022-03-01","2022-03-10"
6,"2022-03-11","2022-03-25"
7,"2022-04-01","2022-04-09"
8,"2022-04-10","2022-04-26"
9,"2022-05-16","2022-05-30"
10,"2022-05-01","2022-05-09"
11,"2022-06-10","2022-06-26"
12,"2022-06-16","2022-06-30"
13,"2022-07-01","2022-07-09"
14,"2022-07-10","2022-07-26"
15,"2022-08-16","2022-08-30"
16,"2022-08-01","2022-08-09"
17,"2022-09-10","2022-09-26"
18,"2022-09-16","2022-09-30"
19,"2022-10-01","2022-10-09"
20,"2022-10-10","2022-10-26"
